# name;mass;radius;inclination;k;publication;detection_type;discovered
51 Peg b;0.47;1.9;80;55.65;Published in a refereed paper;Radial Velocity;1995
55 Cnc e;0.02703;0.1737;90.36;6.12;Published in a refereed paper;Primary Transit;2004
AU Mic b;0.0368;0.3908;89.03;5.8;Published in a refereed paper;Primary Transit;2020
AU Mic c;0.0698;0.3131;88.62;8.5;Published in a refereed paper;Primary Transit;2020
BD+20 594 b;0.07;0.23;89.55;3.1;Published in a refereed paper;Primary Transit;2016
CoRoT-29 b;0.85;0.9;87.3;125;Published in a refereed paper;Primary Transit;2012
CoRoT-30 b;2.9;1.009;90;283;Published in a refereed paper;Primary Transit;2017
CoRoT-31 b;0.84;1.46;83.2;88;Published in a refereed paper;Primary Transit;2017
CoRoT-35 b;1.1;1.68;84.1;150;Published in a refereed paper;Primary Transit;2022
CoRoT-36 b;0.68;1.41;85.83;65;Published in a refereed paper;Primary Transit;2022
CoRoT-7 b;0.041812;0.136;80.1;4.291;Published in a refereed paper;Primary Transit;2009
DS Tuc A b;0.0453;0.5085;88.73;3.2;Published in a refereed paper;Primary Transit;2019
EPIC 211442297 b;0.84;1.115;88.82;77;Published in a refereed paper;Primary Transit;2017
EPIC 211945201 b;0.085;0.514;87.9;5.7;Published in a refereed paper;Primary Transit;2018
EPIC 246193072 b;0.26;0.774;89.22;24.6;Published in a refereed paper;Primary Transit;2020
EPIC 246851721 b;3;1.051;86.21;270;Published in a refereed paper;Primary Transit;2018
G 9-40 b;0.013;0.17;89.03;3.22;Published in a refereed paper;Primary Transit;2019
GJ 1252 b;0.00415;0.1053;85;3.17;Published in a refereed paper;Primary Transit;2018
GJ 143 b;0.0714;0.2329;89.33;5.51;Published in a refereed paper;Primary Transit;2018
GJ 143 c;0.01164;0.07958;88.9;1.43;Published in a refereed paper;Primary Transit;2018
GJ 3090 b;0.01051;0.19;87.14;2.36;Published in a refereed paper;Primary Transit;2022
GJ 3470 b;0.03958;0.373807429;88.3;8.21;Published in a refereed paper;Primary Transit;2012
GJ 3473 b;0.00585;0.11277;87.95;2.21;Published in a refereed paper;Primary Transit;2020
GJ 357 b;0.006566;0.10411;88.496;1.84;Published in a refereed paper;Primary Transit;2019
GJ 3929 b;0.00381;0.1026;89.65;1.23;Published in a refereed paper;Primary Transit;2022
GJ 436 b;0.07;0.38;85.8;18.07;Published in a refereed paper;Primary Transit;2004
GJ 486 b;0.00887;0.11643;88.4;3.37;Published in a refereed paper;Primary Transit;2021
GJ 9827 b;0.01532;0.13641;85.8;4.1;Published in a refereed paper;Primary Transit;2017
GJ 9827 c;0.00604;0.107;87.8;1.13;Published in a refereed paper;Primary Transit;2017
GJ 9827 d;0.01076;0.17441;87.39;1.7;Published in a refereed paper;Primary Transit;2017
Gaia-1 b;1.68;1.229;85.73;243;Published in a refereed paper;Primary Transit;2021
